flow_id,iat,packet_length,direction,tcp_flags
0,0.0,365,0,24
0,0.013966083526611328,60,1,16
0,0.25557494163513184,1514,1,16
0,4.0531158447265625e-06,97,1,24
0,5.793571472167969e-05,54,0,16
1,0.0,139,0,24
1,0.005530834197998047,66,1,16
1,0.35958313941955566,462,1,24
1,2.288818359375e-05,66,0,16
3,0.0,408,0,24
3,0.0011248588562011719,78,1,16
3,0.006873130798339844,1173,1,24
3,0.19915986061096191,1173,1,24
3,2.1457672119140625e-06,90,0,16
3,0.6996059417724609,381,0,24
3,0.003248929977416992,78,0,16
3,0.0002570152282714844,469,1,24
3,9.5367431640625e-07,78,0,16
4,0.0,541,0,24
4,0.001611948013305664,94,1,16
4,0.016757965087890625,1290,1,24
4,0.03708791732788086,94,0,16
5,0.0,497,0,24
5,0.0015799999237060547,94,1,16
5,0.0027921199798583984,1484,1,16
5,0.0002338886260986328,1484,1,16
5,9.5367431640625e-07,1484,1,16
5,3.0040740966796875e-05,636,1,24
5,0.036988019943237305,94,0,16
5,0.005274057388305664,94,0,16
5,0.0015299320220947266,94,0,16
6,0.0,265,0,24
6,0.0013418197631835938,94,1,16
6,0.017158031463623047,1514,1,16
6,0.0001590251922607422,1514,1,16
6,9.5367431640625e-07,242,1,24
6,0.0361940860748291,94,0,16
6,0.00046706199645996094,94,0,16
7,0.0,276,0,24
7,0.0034809112548828125,74,1,16
7,0.16013002395629883,982,1,24
8,0.0,276,0,24
8,0.0035619735717773438,74,1,16
8,0.02843785285949707,982,1,24
9,0.0,276,0,24
9,0.0036690235137939453,74,1,16
9,0.13663792610168457,982,1,24
10,0.0,276,0,24
10,0.003626108169555664,74,1,16
10,0.021718978881835938,982,1,24
11,0.0,276,0,24
11,0.0036208629608154297,74,1,16
11,0.01281118392944336,981,1,24
11,5.984306335449219e-05,74,0,16
12,0.0,276,0,24
12,0.0037848949432373047,74,1,16
12,0.13764309883117676,982,1,24
13,0.0,276,0,24
13,0.007114887237548828,74,1,16
13,0.02281498908996582,982,1,24
14,0.0,276,0,24
14,0.0035028457641601562,74,1,16
14,0.008573055267333984,982,1,24
15,0.0,342,0,24
15,0.00014400482177734375,74,1,16
15,0.0013580322265625,506,1,24
16,0.0,342,0,24
16,0.0001201629638671875,74,1,16
16,0.0012259483337402344,506,1,24
17,0.0,344,0,24
17,0.00013494491577148438,74,1,16
17,0.0016510486602783203,506,1,24
18,0.0,335,0,24
18,0.00011515617370605469,74,1,16
18,0.0012979507446289062,506,1,24
19,0.0,344,0,24
19,0.00014400482177734375,74,1,16
19,0.0029230117797851562,506,1,24
20,0.0,348,0,24
20,0.008721113204956055,86,1,16
20,1.5394790172576904,1198,1,24
20,9.393692016601562e-05,86,0,16
21,0.0,504,0,24
21,0.000164031982421875,74,1,16
21,0.0010929107666015625,561,1,24
21,0.07039618492126465,74,0,16
22,0.0,484,0,24
22,0.009824037551879883,60,1,16
22,0.0025191307067871094,541,1,24
22,0.0450899600982666,54,0,16
23,0.0,78,0,16
24,0.0,1498,0,24
24,0.004106044769287109,78,0,16
25,0.0,1518,0,16
25,0.00010800361633300781,1452,0,24
25,0.0026319026947021484,78,0,16
26,0.0,1518,0,16
26,0.00011706352233886719,478,0,24
26,0.005457878112792969,78,0,16
27,0.0,1518,0,16
27,0.00010704994201660156,558,0,24
27,0.0016989707946777344,78,0,16
28,0.0,1518,0,16
28,9.918212890625e-05,790,0,24
28,0.0034978389739990234,78,0,16
29,0.0,1518,0,16
29,0.0001010894775390625,478,0,24
29,0.0010190010070800781,78,0,16
30,0.0,1518,0,16
30,0.00010395050048828125,698,0,24
30,0.002833127975463867,78,0,16
31,0.0,1518,0,16
31,0.000102996826171875,254,0,24
31,0.0038919448852539062,78,0,16
32,0.0,1518,0,16
32,9.679794311523438e-05,310,0,24
32,0.003728151321411133,78,0,16
33,0.0,1518,0,16
33,9.202957153320312e-05,310,0,24
33,0.004060983657836914,78,0,16
34,0.0,1518,0,16
34,0.00010204315185546875,310,0,24
35,0.0,78,0,16
35,0.08047986030578613,507,0,24
35,0.005693197250366211,78,0,16
35,3.769998788833618,510,0,24
35,0.0059070587158203125,78,0,16
35,1.203451156616211,510,0,24
35,0.004155874252319336,78,0,16
35,1.010209083557129,511,0,24
35,0.005921840667724609,78,0,16
35,8.416175842285156e-05,78,0,16
35,0.000988006591796875,78,0,16
35,3.600120544433594e-05,78,0,16
